theta	prop_random	stat	value	theta_string
1	0	mu	8.68174889617768e-19	theta[M]==1
3	0	mu	-2.58556807149375e-18	theta[M]==3
5	0	mu	-1.22860646691579e-18	theta[M]==5
7	0	mu	3.93290949937328e-18	theta[M]==7
1	0.05	mu	0.0213472589605405	theta[M]==1
3	0.05	mu	-0.0194869230984641	theta[M]==3
5	0.05	mu	-0.0558219911354284	theta[M]==5
7	0.05	mu	-0.0767184025640858	theta[M]==7
1	0.1	mu	0.0422733819386388	theta[M]==1
3	0.1	mu	-0.0418373653290753	theta[M]==3
5	0.1	mu	-0.10754603150829	theta[M]==5
7	0.1	mu	-0.148802628434665	theta[M]==7
1	0.15	mu	0.0588308352636141	theta[M]==1
3	0.15	mu	-0.0670765252136846	theta[M]==3
5	0.15	mu	-0.16443654751736	theta[M]==5
7	0.15	mu	-0.233650949384017	theta[M]==7
1	0.2	mu	0.0853349893975146	theta[M]==1
3	0.2	mu	-0.0838488187558613	theta[M]==3
5	0.2	mu	-0.228319690922859	theta[M]==5
7	0.2	mu	-0.321373878887245	theta[M]==7
1	0.25	mu	0.109602066692915	theta[M]==1
3	0.25	mu	-0.10448523640948	theta[M]==3
5	0.25	mu	-0.280555172927923	theta[M]==5
7	0.25	mu	-0.409977103743444	theta[M]==7
1	0.3	mu	0.125401732098912	theta[M]==1
3	0.3	mu	-0.133742776732713	theta[M]==3
5	0.3	mu	-0.331772979101875	theta[M]==5
7	0.3	mu	-0.480010713780262	theta[M]==7
1	0.35	mu	0.148183865392733	theta[M]==1
3	0.35	mu	-0.150199279555135	theta[M]==3
5	0.35	mu	-0.389973176875843	theta[M]==5
7	0.35	mu	-0.572123668804356	theta[M]==7
1	0.4	mu	0.177078203626653	theta[M]==1
3	0.4	mu	-0.175781827885072	theta[M]==3
5	0.4	mu	-0.447232580380552	theta[M]==5
7	0.4	mu	-0.644904890835815	theta[M]==7
1	0.45	mu	0.189246130915376	theta[M]==1
3	0.45	mu	-0.189914245232783	theta[M]==3
5	0.45	mu	-0.498255887734253	theta[M]==5
7	0.45	mu	-0.732284400281551	theta[M]==7
1	0.5	mu	0.215235806975203	theta[M]==1
3	0.5	mu	-0.224988360612877	theta[M]==3
5	0.5	mu	-0.564845499121698	theta[M]==5
7	0.5	mu	-0.808074733750862	theta[M]==7
1	0	tau	0	theta[M]==1
3	0	tau	0	theta[M]==3
5	0	tau	0	theta[M]==5
7	0	tau	0	theta[M]==7
1	0.05	tau	0.000218739498475308	theta[M]==1
3	0.05	tau	0.0297577727804612	theta[M]==3
5	0.05	tau	0.199962835751418	theta[M]==5
7	0.05	tau	0.302244713574068	theta[M]==7
1	0.1	tau	0.00531011345305664	theta[M]==1
3	0.1	tau	0.134662278148587	theta[M]==3
5	0.1	tau	0.350766880680814	theta[M]==5
7	0.1	tau	0.495180040954638	theta[M]==7
1	0.15	tau	0.0203040385343208	theta[M]==1
3	0.15	tau	0.220260606039908	theta[M]==3
5	0.15	tau	0.471104671973344	theta[M]==5
7	0.15	tau	0.644230827663231	theta[M]==7
1	0.2	tau	0.0615981607781056	theta[M]==1
3	0.2	tau	0.275416985860264	theta[M]==3
5	0.2	tau	0.567267486407237	theta[M]==5
7	0.2	tau	0.771047609063441	theta[M]==7
1	0.25	tau	0.0978116940672326	theta[M]==1
3	0.25	tau	0.321417661917084	theta[M]==3
5	0.25	tau	0.639238033509611	theta[M]==5
7	0.25	tau	0.870910746344169	theta[M]==7
1	0.3	tau	0.116414937919001	theta[M]==1
3	0.3	tau	0.378665447891486	theta[M]==3
5	0.3	tau	0.693421046082102	theta[M]==5
7	0.3	tau	0.929908433567716	theta[M]==7
1	0.35	tau	0.141678783397425	theta[M]==1
3	0.35	tau	0.411968888135399	theta[M]==3
5	0.35	tau	0.750061194070134	theta[M]==5
7	0.35	tau	1.00116049416277	theta[M]==7
1	0.4	tau	0.163229368132772	theta[M]==1
3	0.4	tau	0.450240494316734	theta[M]==3
5	0.4	tau	0.793894257960872	theta[M]==5
7	0.4	tau	1.05084742957289	theta[M]==7
